text,watering,humidity,sunlight
A plant that thrives in a dry and cool environment.,high,low,low
"The plant grows in a cool, bright room with moderate humidity and ample sunlight.",high,medium,low
"The houseplant thrives in a bright, well-lit space with minimal water and low humidity.",low,low,high
"A high-humidity, sunny environment with low watering frequency.",low,high,high
A high-humidity and bright sunlight environment.,high,low,high
"A well-managed houseplant grows in a room with few sunlight and a dry air, providing enough water to keep it healthy without overwatering.",medium,low,low
"A plant with minimal watering, low humidity, and minimal sunlight.",low,low,low
"A low-humidity, high-watering, and low-sunlight room with a potting soil-filled pot.",high,high,low
"A high-humidity, sunny houseplant environment.",high,low,high
"A bright, warm, and humid space where high water is given, and plenty of sunlight is available.",high,high,high
"A houseplant environment with moderate watering and a light, neutral atmosphere.",medium,low,medium
"A low-humidity, high-watering environment with moderate sunlight.",high,medium,low
A houseplant is located in a room with moderate sunlight and high humidity.,low,high,medium
A room where plants receive partial sunlight and have moderate moisture levels.,medium,medium,low
"A quiet, fragrant space where gentle light filters through tall windows and soft, low humidity maintains a comfortable atmosphere for growth.",low,medium,low
"A plant with soft, low-humidity and indirect sunlight.",low,medium,low
"A warm, sunny, and humid space for your plant.",medium,medium,high
Someone's houseplant environment is well-lit with moderate watering and a low humidity level.,medium,low,high
"A well-designed houseplant environment with medium watering, high humidity, and moderate sunlight.",medium,high,low
A warm and sunny space with appropriate lighting and a balanced watering schedule.,medium,low,high
"A houseplant is kept in a space with high humidity and plenty of sun, receiving water every two to three weeks.",medium,high,high
Someone’s houseplant is in a room with moderate lighting and adequate humidity.,medium,high,low
"A small, low-humidity, but well-watered, low-light houseplant environment.",high,low,low
"A warm, shady space where water is carefully provided, and a low-humidity atmosphere with adequate sunlight.",high,low,medium
"A plant with minimal watering and dry air, receiving little sunlight.",low,low,low
"A humid, well-lit space with some watering.",medium,medium,medium
"A well-tended houseplant thrives in a moderate, shaded area with consistent moisture.",high,medium,low
"A houseplant thrives in a quiet, well-ventilated space where water is moderately frequent and room humidity is moderate.",medium,medium,low
"A houseplant with high sunlight, medium room humidity, and frequent watering.",high,medium,high
"A humid, bright room with frequent watering and sunlight.",high,high,low
A sunny room with high humidity and frequent watering.,high,high,low
"A humid, low-humidity environment with regular watering.",high,high,low
A room with moderate humidity and moderate sunlight.,low,medium,medium
"A room with bright, warm sunlight and a high humidity environment, where water is kept at moderate levels to provide adequate nourishment without overwatering.",medium,high,high
"A bright, well-lit space with plenty of sunlight and high water availability.",high,low,high
"A small, fragrant plant with soft lighting and indirect warmth.",medium,low,low
"A well-maintained houseplant thrives in a warm, slightly humid environment where sunlight is moderate to bright, providing both nourishment and protection from harsh weather.",low,medium,medium
"A small, low-humidity room with soft lighting and moderate watering.",medium,low,low
"A houseplant is in a room with high humidity and medium sunlight, receiving regular watering.",high,high,medium
"A warm, well-lit space with sufficient sunlight and easy access to a water source.",low,high,medium
